Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2021;10306;Comisiones y gastos por servicios financieros y comerciales;125;38;788972252;0.11
2021;19905;Deducibles;10;5;1214887;0
2021;50201;Edificios;638;262;63842424227;8.52
2021;50302;Edificios preexistentes;20;3;1659480;0
2021;20503;Energía eléctrica;0;1;198898002;0.03
2021;50103;Equipo de comunicación;1762;600;4911963764;0.66
2021;50102;Equipo de transporte;426;219;12274130792;1.64
2021;50106;Equipo sanitario, de laboratorio e investigación;2512;704;17109675972;2.28
2021;50104;Equipo y mobiliario de oficina;2665;827;3336659299;0.45
2021;50107;Equipo y mobiliario educacional, deportivo y recreativo;2549;323;5005679263;0.67
2021;50105;Equipo y programas de cómputo //(2019) Equipo de cómputo;3008;1072;34858216925;4.65
2021;19904;Gastos de misiones especiales en el exterior;1;1;814940;0
2021;19903;Gastos de oficinas en el exterior;11;3;3220521;0
2021;10703;Gastos de representación institucional;3;2;277771;0
2021;20401;Herramientas e instrumentos;8914;960;1342917151;0.18
2021;10303;Impresión, encuadernación y otros;739;271;569097730;0.08
2021;10901;Impuestos sobre ingresos y utilidades;2;0;0;0
2021;10301;Información;1409;556;3558639972;0.48
2021;50207;Instalaciones;1073;348;30645722011;4.09
2021;19902;Intereses moratorios y multas;1;1;20595;0
2021;20303;Madera y sus derivados;1123;282;324929913;0.04
2021;10801;Mantenimiento de edificios, locales y terrenos;2321;968;11290898886;1.51
2021;10803;Mantenimiento de instalaciones y otras obras;867;411;7647180930;1.02
2021;10802;Mantenimiento de vías de comunicación;191;80;8437312811;1.13
2021;10808;Mantenimiento y reparación de equipo de cómputo y sistemas de información;1544;712;13224493455;1.77
2021;10806;Mantenimiento y reparación de equipo de comunicación;310;162;3197100527;0.43
2021;10805;Mantenimiento y reparación de equipo de transporte;6316;3059;3711867928;0.5
2021;10807;Mantenimiento y reparación de equipo y mobiliario de oficina;903;329;1774867227;0.24
2021;10804;Mantenimiento y reparación de maquinaria y equipo de producción;2255;976;6220363056;0.83
2021;10899;Mantenimiento y reparación de otros equipos;3676;1053;4215180754;0.56
2021;50199;Maquinaria, equipo y mobiliario diverso;4280;1483;11213552361;1.5
2021;50101;Maquinaria y equipo para la producción;2508;730;14778767390;1.97
2021;20501;Materia prima;176;42;4098321812;0.55
2021;20306;Materiales y productos de plástico;8162;692;3352966908;0.45
2021;20305;Materiales y productos de vidrio;154;63;95291186;0.01
2021;20304;Materiales y productos eléctricos, telefónicos y de cómputo;9683;1066;7744910078;1.03
2021;20301;Materiales y productos metálicos;11200;1176;4540679023;0.61
2021;20302;Materiales y productos minerales y asfálticos;4479;1048;6698291118;0.89
2021;99999;No afecta presupuesto institucional;3;4;22546053;0
2021;10603;Obligaciones por contratos de seguros;2732;785;2459454085;0.33
2021;50204;Obras marítimas y fluviales;31;9;5069001049;0.68
2021;50206;Obras urbanísticas;47;19;965294229;0.13
2021;50299;Otras construcciones, adiciones y mejoras;1903;645;24145358720;3.22
2021;50399;Otras obras preexistentes;11;3;96013430;0.01
2021;10199;Otros alquileres;206;65;808024188;0.11
2021;59999;Otros bienes duraderos;161;58;955262155;0.13
2021;20599;Otros bienes para la producción y comercialización;109;36;7864706429;1.05
2021;10999;Otros impuestos;3;2;0;0
2021;20399;Otros materiales y productos de uso en la construcción y mantenimiento;8377;658;1090286119;0.15
